Time,Command_1,Z_1,Step_1,Command_2,Z_2,Step_2
33.700000,0.109239,101.739741,100.000000,0.143030,50.018936,50.000000
33.800000,0.112185,101.707366,100.000000,0.142532,50.011771,50.000000
33.900000,0.115046,101.675268,100.000000,0.141980,50.004783,50.000000
34.000000,0.117823,101.643448,100.000000,0.141377,49.997972,50.000000
34.100000,0.120518,101.611907,100.000000,0.140725,49.991336,50.000000
34.200000,0.123131,101.580648,100.000000,0.140023,49.984873,50.000000
34.300000,0.125664,101.549670,100.000000,0.139275,49.978582,50.000000
34.400000,0.128117,101.518976,100.000000,0.138482,49.972460,50.000000
34.500000,0.130493,101.488565,100.000000,0.137645,49.966507,50.000000
34.600000,0.132791,101.458440,100.000000,0.136766,49.960720,50.000000
34.700000,0.135014,101.428600,100.000000,0.135847,49.955099,50.000000
34.800000,0.137161,101.399046,100.000000,0.134889,49.949640,50.000000
34.900000,0.139235,101.369779,100.000000,0.133893,49.944342,50.000000
35.000000,0.141236,101.340800,100.000000,0.132861,49.939204,50.000000
35.100000,0.143166,101.312109,100.000000,0.131796,49.934223,50.000000
35.200000,0.145026,101.283707,100.000000,0.130697,49.929397,50.000000
35.300000,0.146816,101.255593,100.000000,0.129567,49.924726,50.000000
35.400000,0.148538,101.227768,100.000000,0.128408,49.920206,50.000000
35.500000,0.150192,101.200233,100.000000,0.127220,49.915836,50.000000
35.600000,0.151781,101.172987,100.000000,0.126006,49.911614,50.000000
35.700000,0.153305,101.146031,100.000000,0.124766,49.907538,50.000000
35.800000,0.154764,101.119364,100.000000,0.123502,49.903605,50.000000
35.900000,0.156161,101.092987,100.000000,0.122216,49.899815,50.000000
36.000000,0.157495,101.066899,100.000000,0.120909,49.896164,50.000000
36.100000,0.158769,101.041100,100.000000,0.119581,49.892651,50.000000
36.200000,0.159983,101.015590,100.000000,0.118235,49.889274,50.000000
36.300000,0.161138,100.990369,100.000000,0.116872,49.886031,50.000000
36.400000,0.162235,100.965437,100.000000,0.115492,49.882920,50.000000
36.500000,0.163275,100.940792,100.000000,0.114098,49.879938,50.000000
36.600000,0.164260,100.916435,100.000000,0.112690,49.877084,50.000000
36.700000,0.165189,100.892364,100.000000,0.111269,49.874355,50.000000
36.800000,0.166064,100.868580,100.000000,0.109837,49.871750,50.000000
36.900000,0.166887,100.845082,100.000000,0.108394,49.869266,50.000000
37.000000,0.167657,100.821870,100.000000,0.106941,49.866901,50.000000
37.100000,0.168376,100.798941,100.000000,0.105481,49.864654,50.000000
37.200000,0.169044,100.776296,100.000000,0.104012,49.862522,50.000000
37.300000,0.169663,100.753934,100.000000,0.102537,49.860503,50.000000
37.400000,0.170234,100.731854,100.000000,0.101057,49.858596,50.000000
37.500000,0.170757,100.710056,100.000000,0.099572,49.856797,50.000000
37.600000,0.171233,100.688537,100.000000,0.098082,49.855106,50.000000
37.700000,0.171664,100.667298,100.000000,0.096590,49.853520,50.000000
37.800000,0.172049,100.646337,100.000000,0.095095,49.852036,50.000000
37.900000,0.172390,100.625653,100.000000,0.093599,49.850654,50.000000
38.000000,0.172688,100.605246,100.000000,0.092102,49.849371,50.000000
38.100000,0.172943,100.585113,100.000000,0.090604,49.848184,50.000000
38.200000,0.173156,100.565254,100.000000,0.089107,49.847093,50.000000
